"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A1570"	0.0046	0.0107	0.0025	0.002	0.006	0.01	0.0087	0.0016	0.0211	0.0579	0.022	0.7569	0.0129	0.0161	0.0213	0.0147	0.031
"A1598"	0.0102	0.0079	0.0113	0.011	0.0095	0.0061	0.01	0.0097	0.0092	0.5356	0.0192	0.2545	0.0103	0.0106	0.0215	0.0079	0.0555
"A1627"	0.0294	0.0111	0.0366	0.0342	0.0096	0.0112	0.0098	0.0487	0.0149	0.2901	0.0398	0.212	0.0112	0.0168	0.1886	0.0118	0.0242
"A1650"	0.0121	0.0088	0.0368	0.0277	0.0089	0.0067	0.0059	0.0045	0.0094	0.5921	0.028	0.1724	0.0069	0.0082	0.0254	0.0046	0.0416
"A1654"	0.0096	0.0432	0.007	0.0045	0.0123	0.0468	0.008	0.0039	0.2095	0.0205	0.2262	0.2259	0.022	0.0843	0.04	0.0338	0.0025
"A1659"	0.0063	0.0104	0.0023	0.0024	0.0035	0.0087	0.0067	0.0064	0.0276	0.1049	0.0243	0.444	0.0135	0.0197	0.0472	0.0103	0.2618
"A1675"	0.0039	0.009	0.0021	0.002	0.0033	0.0036	0.0081	0.003	0.0184	0.0473	0.0181	0.8222	0.0093	0.0127	0.0155	0.0095	0.012
"A1698"	0.0122	0.007	0.0233	0.0211	0.0062	0.007	0.0071	0.0071	0.0118	0.6098	0.0258	0.15	0.0098	0.0142	0.0205	0.0062	0.0609
"A1725"	0.0176	0.0076	0.0209	0.0283	0.0065	0.0072	0.0091	0.0068	0.0143	0.4704	0.0233	0.2894	0.01	0.0123	0.037	0.0056	0.0337
"A1741"	0.006	0.0139	0.0028	0.0024	0.0074	0.01	0.0099	7e-04	0.035	0.0875	0.0723	0.5246	0.0125	0.0265	0.0438	0.0252	0.1195
"A1748"	0.0066	0.0097	0.0032	0.003	0.0056	0.0045	0.0051	0.0035	0.0186	0.0542	0.0136	0.7914	0.0075	0.0119	0.016	0.007	0.0386
"A1759"	0.0122	0.0555	0.0055	0.0028	0.0109	0.0282	0.0081	0.0045	0.1777	0.0187	0.0457	0.4633	0.0247	0.0594	0.0486	0.0302	0.004
"A1767"	0.0172	0.0073	0.0359	0.0319	0.0093	0.0065	0.0084	0.021	0.0152	0.4462	0.0347	0.2179	0.0164	0.0174	0.0768	0.0087	0.0292
"A1788"	0.0158	0.0282	0.0051	0.0039	0.0083	0.0194	0.0075	0.1132	0.0943	0.0384	0.0594	0.3767	0.024	0.0802	0.09	0.0272	0.0084
